Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
"12,900,000",Honda,Vezel,Limited,2017,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","37,000 km"
"16,250,000",Jaguar,XF,Fully Loaded,2013,Used,Automatic,Saloon,Diesel,"2,200 cc","42,000 km"
"17,000,000",Toyota,CHR,GT New Face 2wd,2020,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","15,000 km"
"13,000,000",Toyota,CHR,Toyato,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","21,000 km"
"33,500,000",Toyota,Land Cruiser Prado,prado,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","57,000 km"
"4,790,000",Suzuki,Alto,Suzuki Alto Japan,2017,Used,Automatic,Hatchback,Petrol,650 cc,"46,521 km"
"9,200,000",MG,ZS,SUV,2018,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc","60,000 km"
"7,800,000",Toyota,Vitz,FM Safety Edition 2,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","29,000 km"
"19,990,000",Mitsubishi,Montero,2014,2013,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc","110,000 km"
"4,885,000",Suzuki,Wagon R FX,Safety,2016,Used,Automatic,Hatchback,Petrol,650 cc,"68,000 km"
"12,400,000",Toyota,CHR,NGX 50 GT Turbo,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","37,000 km"
"1,750,000",Peugeot,405,GLD,1995,Used,Manual,Saloon,Diesel,"1,905 cc","150,000 km"
"8,250,000",Toyota,Allion,260,2007,Used,Automatic,Saloon,Petrol,"1,800 cc","115,000 km"
"20,800,000",Toyota,Harrier,Premium,2015,Used,Automatic,SUV / 4x4,Hybrid,"2,500 cc","92,000 km"
"5,700,000",Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"20,300 km"
"8,050,000",Toyota,Aqua,G Grade,2016,Used,Automatic,Hatchback,Petrol,"1,500 cc","49,750 km"
"5,025,000",Honda,Fit,GP1,2012,Used,Automatic,Hatchback,Hybrid,"1,300 cc","108,000 km"
"24,500,000",Mercedes Benz,E300,BLUETEC HYBRID,2015,Used,Tiptronic,Saloon,Diesel,"2,143 cc","53,000 km"
"6,095,000",Toyota,Prius,2010,2010,Used,Automatic,Saloon,Petrol,"1,800 cc","79,000 km"
"50,500,000",Land Rover,Discovery,5 Hse,2018,Used,Tiptronic,SUV / 4x4,Diesel,"2,000 cc","17,000 km"
"700,000",Mitsubishi,Lancer,Box,1985,Used,Manual,Saloon,Petrol,"1,400 cc","100,000 km"
"19,300,000",Land Rover,Defender,110 Puma 2.4,2008,Used,Manual,SUV / 4x4,Diesel,"2,400 cc","117,000 km"
"14,500,000",Toyota,Axio,WXB 2019,2019,Used,Automatic,Saloon,Hybrid,"1,500 cc","17,000 km"
"8,400,000",BMW,520i,E60 M SPORT,2003,Used,Automatic,Saloon,Petrol,"2,200 cc","160,000 km"
"6,200,000",Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,650 cc,"95,000 km"
"2,800,000",Suzuki,Alto,Alto 2015,2015,Used,Manual,Hatchback,Petrol,800 cc,"84,000 km"
"4,790,000",Suzuki,Wagon R,STINGRAY,2014,Used,Automatic,MPV,CNG,660 cc,"68,000 km"
"8,850,000",Suzuki,Swift,TURBO,2019,Used,Automatic,Hatchback,Petrol,"1,500 cc","110,000 km"
"5,950,000",Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Petrol,"1,490 cc","109,000 km"
"9,650,000",Toyota,Land Cruiser Prado,TX L,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","190,000 km"
"2,985,000",Suzuki,Alto,LXI INDIAN,2015,Used,Manual,Hatchback,Petrol,800 cc,"61,235 km"
"9,300,000",Honda,Vezel,Ivory Package Z 2016,2015,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","80,500 km"
"4,850,000",Hyundai,Elantra,AUTO KOREA,2008,Used,Automatic,Saloon,Petrol,"1,580 cc","125,485 km"
"5,250,000",Toyota,Avanza,G Grade 7 Seater,2012,Used,Manual,MPV,Petrol,"1,500 cc","145,000 km"
"6,200,000",Toyota,Yaris,(used),2008,Used,Automatic,Saloon,Petrol,"1,300 cc","120,000 km"
"8,950,000",Toyota,Axio,G Grade 2014,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","72,000 km"
"8,750,000",Toyota,Premio,2010 1st owner,2010,Used,Automatic,Saloon,Petrol,"1,490 cc","66,000 km"
"4,900,000",Suzuki,Hustler,safety,2015,Used,Automatic,SUV / 4x4,Hybrid,650 cc,"50,500 km"
"17,800,000",Audi,A3,Audi,2019,Used,Tiptronic,Saloon,Petrol,"1,000 cc","22,000 km"
"14,000,000",Honda,Vezel,Sensing,2019,Used,Tiptronic,MPV,Petrol,"1,500 cc","9,400 km"
"12,300,000",Toyota,Raize,Raize Z Grade,2020,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc","11,500 km"
"5,250,000",Toyota,Prius,(used),2008,Used,Automatic,Saloon,Hybrid,"1,500 cc","156,000 km"
"62,500,000",Mercedes Benz,GLE 300D,DIMO,2019,Used,Automatic,SUV / 4x4,Diesel,"2,000 cc","5,000 km"
"2,685,000",Daihatsu,Mira,Auto 2003 japan,1999,Used,Automatic,Hatchback,Petrol,650 cc,"130,452 km"
"10,775,000",Toyota,Axio,G Grade,2016,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc","68,000 km"
