Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
"3,975,000",Nissan,Sunny,N 17 1600cc manual,2003,Reconditioned,Manual,Saloon,Petrol,"1,600 cc","158,000 km"
"14,450,000",Toyota,Land Cruiser Prado,TX Limited,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","118,000 km"
"2,650,000",Micro,Panda,2017,2017,Used,Manual,Hatchback,Petrol,"1,000 cc","49,300 km"
"61,500,000",BMW,740Le,M-Sport,2018,Used,Automatic,Saloon,Petrol,"2,000 cc","12,000 km"
"26,000,000",Lexus,NX300H,Lexus Nx300h,2015,Used,Tiptronic,SUV / 4x4,Petrol,"2,500 cc","101,000 km"
"35,000,000",BMW,X5,M-Sport,2016,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","42,000 km"
"52,500,000",Mercedes Benz,S300,Diesel LWB,2015,Used,Automatic,Saloon,Diesel,"2,200 cc","36,000 km"
"28,500,000",BMW,ActiveHybrid 7,LongWheel,2015,Used,Automatic,Saloon,Petrol,"3,000 cc","32,000 km"
"50,000,000",BMW,740Le,M-Sport Plus,2017,Used,Automatic,Saloon,Petrol,"2,000 cc","39,000 km"
"50,000,000",BMW,740Le,M-Sport Plus,2017,Used,Automatic,Saloon,Petrol,"2,000 cc","31,500 km"
"28,800,000",Mercedes Benz,C180,Cabriolet,2018,Used,Automatic,Convertible,Petrol,"1,600 cc","20,000 km"
"63,750,000",Land Rover,Range Rover Sport,SVO P400e,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","14,000 km"
"18,500,000",Kia,Sorento,Sorento 2014,2014,Used,Automatic,SUV / 4x4,Diesel,"2,200 cc","75,000 km"
"38,000,000",BMW,i8,High Spec,2018,Used,Automatic,Coup̩/Sports,Petrol,"1,500 cc","10,000 km"
"14,825,000",BMW,520d,F10,2012,Used,Tiptronic,Saloon,Diesel,"2,000 cc","145,000 km"
"65,500,000",Land Rover,Range Rover Sport,Si4 Non-hybrid,2018,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","20,000 km"
"15,400,000",Toyota,CHR,2020 New Face lift,2020,Used,Automatic,SUV / 4x4,Petrol,"1,190 cc","9,500 km"
"67,000,000",Land Rover,Range Rover Sport,P400e,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","5,000 km"
"35,000,000",Land Rover,Range Rover Sport,5000cc Supercharged,2012,Used,Automatic,SUV / 4x4,Petrol,"5,000 cc","23,500 km"
"7,250,000",Suzuki,Spacia,TURBO CUSTOM 2018,2018,Used,Automatic,Station wagon,Hybrid,650 cc,"21,000 km"
"8,975,000",Honda,Vezel,Z Orange Gold,2015,Used,Automatic,Saloon,Petrol,"1,500 cc","66,000 km"
"9,000,000",Honda,Grace,EX,2016,Used,Automatic,Saloon,Hybrid,"1,500 cc","67,000 km"
"15,800,000",Peugeot,3008,Active-line,2019,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","3,500 km"
"7,225,000",Toyota,Prius,S Grade,2013,Used,Automatic,Saloon,Hybrid,"1,800 cc","91,000 km"
"16,400,000",Audi,A3,Audi A3 TFSI Sedan,2018,Used,Tiptronic,Saloon,Petrol,"1,000 cc","30,500 km"
"9,950,000",Toyota,Allion,260,2012,Used,Automatic,Saloon,Petrol,"1,500 cc","140,000 km"
"3,300,000",Nissan,Leaf,G Grade,2014,Used,Automatic,Hatchback,Electric,70 cc,"56,000 km"
"7,000,000",Toyota,Passo,2017,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","27,000 km"
"2,475,000",Micro,Panda,Micro Geely Panda,2016,Used,Manual,Hatchback,Petrol,"1,000 cc","72,000 km"
"4,450,000",Suzuki,Wagon R FZ,(used),2014,Used,Automatic,Hatchback,Hybrid,650 cc,"76,300 km"
"8,150,000",Honda,Grace,EX PACK,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","100,000 km"
"460,000",Mitsubishi,Lancer,GLX,1985,Used,Manual,Station wagon,Petrol,"1,500 cc","100,000 km"
"27,300,000",Toyota,Hilux,Rocco B5,2020,Used,Automatic,SUV / 4x4,Diesel,"2,800 cc","27,000 km"
"37,000,000",Toyota,Land Cruiser Prado,6 SPEED,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","28,000 km"
"6,750,000",Toyota,Aqua,(used),2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","68,000 km"
"4,400,000",Suzuki,Alto,Japan,2016,Used,Tiptronic,Hatchback,Petrol,650 cc,"76,000 km"
"3,600,000",Perodua,Viva Elite,GXR,2011,Used,Manual,Hatchback,Petrol,"1,000 cc","46,000 km"
"25,000,000",Peugeot,5008,GT line,2019,Used,Tiptronic,SUV / 4x4,Petrol,"1,200 cc","37,000 km"
"2,905,000",Suzuki,Alto,LXI,2016,Used,Manual,Hatchback,Petrol,800 cc,"77,500 km"
"20,500,000",Honda,CRV,CRV Masterpiece 2020,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",261 km
"565,000",Nissan,Sunny,Box,1982,Used,Manual,Saloon,Petrol,"1,500 cc","60,000 km"
"21,250,000",Mitsubishi,Montero,Mitsubishi,2013,Used,Automatic,Station wagon,Diesel,"3,200 cc","89,000 km"
"8,750,000",Mitsubishi,Outlander,Brand New,2010,Used,Automatic,SUV / 4x4,Petrol,"3,000 cc","170,000 km"
"4,575,000",Mitsubishi,eK Wagon,Mitsubishi,2016,Used,Automatic,Hatchback,Petrol,660 cc,"42,000 km"
"7,500,000",Toyota,Hilux,1989,1989,Used,Manual,SUV / 4x4,Diesel,"2,000 cc","275,595 km"
"10,800,000",Honda,Civic,SR Turbo,2017,Used,Automatic,Station wagon,Petrol,"1,000 cc","23,000 km"
"7,850,000",Suzuki,Swift,Turbo Safety,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","28,000 km"
"11,000,000",Mitsubishi,Outlander,ASX,2015,Reconditioned,Tiptronic,SUV / 4x4,Petrol,"2,000 cc","90,000 km"
"7,850,000",Mercedes Benz,E220,Diesel,2006,Used,Manual,Saloon,Diesel,"2,000 cc","125,000 km"
"23,500,000",Mercedes Benz,E300,Mercedes Benz,2014,Used,Tiptronic,Saloon,Diesel,"2,200 cc","70,000 km"
"19,500,000",BMW,520d,2013 3 option,2013,Used,Tiptronic,Saloon,Diesel,"2,000 cc","60,000 km"
"23,500,000",BMW,520d,Original M Sport,2017,Used,Tiptronic,Saloon,Diesel,"2,000 cc","58,000 km"
"32,000,000",Audi,A5,Full option,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","15,000 km"
"2,850,000",Suzuki,Alto,2015,2015,Used,Manual,Hatchback,Petrol,800 cc,"84,248 km"
"7,300,000",Toyota,Vitz,F Grade,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","43,900 km"
"11,200,000",Mercedes Benz,C180,Kompesaro,2009,Used,Tiptronic,Saloon,Petrol,"1,600 cc","107,000 km"
"18,600,000",Toyota,Land Cruiser Prado,120 Diesel,2007,Used,Automatic,SUV / 4x4,Diesel,"3,000 cc","220,000 km"
"15,900,000",Toyota,Premio,G SUPERIOR,2017,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","57,000 km"
"6,200,000",Toyota,Prius,3rd generation,2010,Used,Automatic,Saloon,Hybrid,"1,790 cc","128,000 km"
