,Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
0,12900000,Honda,Vezel,Limited,2017,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc",37000
1,16250000,Jaguar,XF,Fully Loaded,2013,Used,Automatic,Saloon,Diesel,"2,200 cc",42000
2,17000000,Toyota,CHR,GT New Face 2wd,2020,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",15000
3,13000000,Toyota,CHR,Toyato,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",21000
4,33500000,Toyota,Land Cruiser Prado,prado,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",57000
5,4790000,Suzuki,Alto,Suzuki Alto Japan,2017,Used,Automatic,Hatchback,Petrol,650 cc,46521
6,9200000,MG,ZS,SUV,2018,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",60000
7,7800000,Toyota,Vitz,FM Safety Edition 2,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc",29000
8,19990000,Mitsubishi,Montero,2014,2013,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc",110000
9,4885000,Suzuki,Wagon R FX,Safety,2016,Used,Automatic,Hatchback,Petrol,650 cc,68000
10,12400000,Toyota,CHR,NGX 50 GT Turbo,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",37000
11,1750000,Peugeot,405,GLD,1995,Used,Manual,Saloon,Diesel,"1,905 cc",150000
12,8250000,Toyota,Allion,260,2007,Used,Automatic,Saloon,Petrol,"1,800 cc",115000
13,20800000,Toyota,Harrier,Premium,2015,Used,Automatic,SUV / 4x4,Hybrid,"2,500 cc",92000
14,5700000,Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,660 cc,20300
15,8050000,Toyota,Aqua,G Grade,2016,Used,Automatic,Hatchback,Petrol,"1,500 cc",49750
16,5025000,Honda,Fit,GP1,2012,Used,Automatic,Hatchback,Hybrid,"1,300 cc",108000
17,24500000,Mercedes Benz,E300,BLUETEC HYBRID,2015,Used,Tiptronic,Saloon,Diesel,"2,143 cc",53000
18,6095000,Toyota,Prius,2010,2010,Used,Automatic,Saloon,Petrol,"1,800 cc",79000
19,50500000,Land Rover,Discovery,5 Hse,2018,Used,Tiptronic,SUV / 4x4,Diesel,"2,000 cc",17000
20,700000,Mitsubishi,Lancer,Box,1985,Used,Manual,Saloon,Petrol,"1,400 cc",100000
21,19300000,Land Rover,Defender,110 Puma 2.4,2008,Used,Manual,SUV / 4x4,Diesel,"2,400 cc",117000
22,14500000,Toyota,Axio,WXB 2019,2019,Used,Automatic,Saloon,Hybrid,"1,500 cc",17000
23,8400000,BMW,520i,E60 M SPORT,2003,Used,Automatic,Saloon,Petrol,"2,200 cc",160000
24,6200000,Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,650 cc,95000
25,2800000,Suzuki,Alto,Alto 2015,2015,Used,Manual,Hatchback,Petrol,800 cc,84000
26,4790000,Suzuki,Wagon R,STINGRAY,2014,Used,Automatic,MPV,CNG,660 cc,68000
27,8850000,Suzuki,Swift,TURBO,2019,Used,Automatic,Hatchback,Petrol,"1,500 cc",110000
28,5950000,Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Petrol,"1,490 cc",109000
29,9650000,Toyota,Land Cruiser Prado,TX L,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",190000
30,2985000,Suzuki,Alto,LXI INDIAN,2015,Used,Manual,Hatchback,Petrol,800 cc,61235
31,9300000,Honda,Vezel,Ivory Package Z 2016,2015,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc",80500
32,4850000,Hyundai,Elantra,AUTO KOREA,2008,Used,Automatic,Saloon,Petrol,"1,580 cc",125485
33,5250000,Toyota,Avanza,G Grade 7 Seater,2012,Used,Manual,MPV,Petrol,"1,500 cc",145000
34,6200000,Toyota,Yaris,(used),2008,Used,Automatic,Saloon,Petrol,"1,300 cc",120000
35,8950000,Toyota,Axio,G Grade 2014,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc",72000
36,8750000,Toyota,Premio,2010 1st owner,2010,Used,Automatic,Saloon,Petrol,"1,490 cc",66000
37,4900000,Suzuki,Hustler,safety,2015,Used,Automatic,SUV / 4x4,Hybrid,650 cc,50500
38,17800000,Audi,A3,Audi,2019,Used,Tiptronic,Saloon,Petrol,"1,000 cc",22000
39,14000000,Honda,Vezel,Sensing,2019,Used,Tiptronic,MPV,Petrol,"1,500 cc",9400
40,12300000,Toyota,Raize,Raize Z Grade,2020,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",11500
41,5250000,Toyota,Prius,(used),2008,Used,Automatic,Saloon,Hybrid,"1,500 cc",156000
42,62500000,Mercedes Benz,GLE 300D,DIMO,2019,Used,Automatic,SUV / 4x4,Diesel,"2,000 cc",5000
43,2685000,Daihatsu,Mira,Auto 2003 japan,1999,Used,Automatic,Hatchback,Petrol,650 cc,130452
44,10775000,Toyota,Axio,G Grade,2016,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc",68000
45,3975000,Nissan,Sunny,N 17 1600cc manual,2003,Reconditioned,Manual,Saloon,Petrol,"1,600 cc",158000
46,14450000,Toyota,Land Cruiser Prado,TX Limited,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",118000
47,2650000,Micro,Panda,2017,2017,Used,Manual,Hatchback,Petrol,"1,000 cc",49300
48,61500000,BMW,740Le,M-Sport,2018,Used,Automatic,Saloon,Petrol,"2,000 cc",12000
49,26000000,Lexus,NX300H,Lexus Nx300h,2015,Used,Tiptronic,SUV / 4x4,Petrol,"2,500 cc",101000
50,35000000,BMW,X5,M-Sport,2016,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",42000
51,52500000,Mercedes Benz,S300,Diesel LWB,2015,Used,Automatic,Saloon,Diesel,"2,200 cc",36000
52,28500000,BMW,ActiveHybrid 7,LongWheel,2015,Used,Automatic,Saloon,Petrol,"3,000 cc",32000
53,50000000,BMW,740Le,M-Sport Plus,2017,Used,Automatic,Saloon,Petrol,"2,000 cc",39000
54,50000000,BMW,740Le,M-Sport Plus,2017,Used,Automatic,Saloon,Petrol,"2,000 cc",31500
55,28800000,Mercedes Benz,C180,Cabriolet,2018,Used,Automatic,Convertible,Petrol,"1,600 cc",20000
56,63750000,Land Rover,Range Rover Sport,SVO P400e,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",14000
57,18500000,Kia,Sorento,Sorento 2014,2014,Used,Automatic,SUV / 4x4,Diesel,"2,200 cc",75000
58,38000000,BMW,i8,High Spec,2018,Used,Automatic,CoupÃ©/Sports,Petrol,"1,500 cc",10000
59,14825000,BMW,520d,F10,2012,Used,Tiptronic,Saloon,Diesel,"2,000 cc",145000
60,65500000,Land Rover,Range Rover Sport,Si4 Non-hybrid,2018,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",20000
61,15400000,Toyota,CHR,2020 New Face lift,2020,Used,Automatic,SUV / 4x4,Petrol,"1,190 cc",9500
62,67000000,Land Rover,Range Rover Sport,P400e,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",5000
63,35000000,Land Rover,Range Rover Sport,5000cc Supercharged,2012,Used,Automatic,SUV / 4x4,Petrol,"5,000 cc",23500
64,7250000,Suzuki,Spacia,TURBO CUSTOM 2018,2018,Used,Automatic,Station wagon,Hybrid,650 cc,21000
65,8975000,Honda,Vezel,Z Orange Gold,2015,Used,Automatic,Saloon,Petrol,"1,500 cc",66000
66,9000000,Honda,Grace,EX,2016,Used,Automatic,Saloon,Hybrid,"1,500 cc",67000
67,15800000,Peugeot,3008,Active-line,2019,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",3500
68,7225000,Toyota,Prius,S Grade,2013,Used,Automatic,Saloon,Hybrid,"1,800 cc",91000
69,16400000,Audi,A3,Audi A3 TFSI Sedan,2018,Used,Tiptronic,Saloon,Petrol,"1,000 cc",30500
70,9950000,Toyota,Allion,260,2012,Used,Automatic,Saloon,Petrol,"1,500 cc",140000
71,3300000,Nissan,Leaf,G Grade,2014,Used,Automatic,Hatchback,Electric,70 cc,56000
72,7000000,Toyota,Passo,2017,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc",27000
73,2475000,Micro,Panda,Micro Geely Panda,2016,Used,Manual,Hatchback,Petrol,"1,000 cc",72000
74,4450000,Suzuki,Wagon R FZ,(used),2014,Used,Automatic,Hatchback,Hybrid,650 cc,76300
75,8150000,Honda,Grace,EX PACK,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc",100000
76,460000,Mitsubishi,Lancer,GLX,1985,Used,Manual,Station wagon,Petrol,"1,500 cc",100000
77,27300000,Toyota,Hilux,Rocco B5,2020,Used,Automatic,SUV / 4x4,Diesel,"2,800 cc",27000
78,37000000,Toyota,Land Cruiser Prado,6 SPEED,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",28000
79,6750000,Toyota,Aqua,(used),2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc",68000
80,4400000,Suzuki,Alto,Japan,2016,Used,Tiptronic,Hatchback,Petrol,650 cc,76000
81,3600000,Perodua,Viva Elite,GXR,2011,Used,Manual,Hatchback,Petrol,"1,000 cc",46000
82,25000000,Peugeot,5008,GT line,2019,Used,Tiptronic,SUV / 4x4,Petrol,"1,200 cc",37000
83,2905000,Suzuki,Alto,LXI,2016,Used,Manual,Hatchback,Petrol,800 cc,77500
84,20500000,Honda,CRV,CRV Masterpiece 2020,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",261
85,565000,Nissan,Sunny,Box,1982,Used,Manual,Saloon,Petrol,"1,500 cc",60000
86,21250000,Mitsubishi,Montero,Mitsubishi,2013,Used,Automatic,Station wagon,Diesel,"3,200 cc",89000
87,8750000,Mitsubishi,Outlander,Brand New,2010,Used,Automatic,SUV / 4x4,Petrol,"3,000 cc",170000
88,4575000,Mitsubishi,eK Wagon,Mitsubishi,2016,Used,Automatic,Hatchback,Petrol,660 cc,42000
89,7500000,Toyota,Hilux,1989,1989,Used,Manual,SUV / 4x4,Diesel,"2,000 cc",275595
90,10800000,Honda,Civic,SR Turbo,2017,Used,Automatic,Station wagon,Petrol,"1,000 cc",23000
91,7850000,Suzuki,Swift,Turbo Safety,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc",28000
92,11000000,Mitsubishi,Outlander,ASX,2015,Reconditioned,Tiptronic,SUV / 4x4,Petrol,"2,000 cc",90000
93,7850000,Mercedes Benz,E220,Diesel,2006,Used,Manual,Saloon,Diesel,"2,000 cc",125000
94,23500000,Mercedes Benz,E300,Mercedes Benz,2014,Used,Tiptronic,Saloon,Diesel,"2,200 cc",70000
95,19500000,BMW,520d,2013 3 option,2013,Used,Tiptronic,Saloon,Diesel,"2,000 cc",60000
96,23500000,BMW,520d,Original M Sport,2017,Used,Tiptronic,Saloon,Diesel,"2,000 cc",58000
97,32000000,Audi,A5,Full option,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",15000
98,2850000,Suzuki,Alto,2015,2015,Used,Manual,Hatchback,Petrol,800 cc,84248
99,7300000,Toyota,Vitz,F Grade,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",43900
100,11200000,Mercedes Benz,C180,Kompesaro,2009,Used,Tiptronic,Saloon,Petrol,"1,600 cc",107000
101,18600000,Toyota,Land Cruiser Prado,120 Diesel,2007,Used,Automatic,SUV / 4x4,Diesel,"3,000 cc",220000
102,15900000,Toyota,Premio,G SUPERIOR,2017,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc",57000
103,6200000,Toyota,Prius,3rd generation,2010,Used,Automatic,Saloon,Hybrid,"1,790 cc",128000
104,5395000,Honda,Civic,Civic FD3,2007,Used,Automatic,Saloon,Petrol,"1,330 cc",195000
105,4800000,Ford,Ranger,-,2005,Reconditioned,Manual,SUV / 4x4,Diesel,"2,900 cc",240000
106,1850000,Mitsubishi,Lancer,Lancer cb2A,1993,Used,Manual,Saloon,Petrol,"1,500 cc",196000
107,5000000,Suzuki,Alto,DGA/HA368 Alto,2016,Used,Automatic,Hatchback,Petrol,650 cc,47000
108,6575000,Toyota,Allion,240,2005,Used,Automatic,Saloon,Petrol,"1,500 cc",192000
109,12400000,Mercedes Benz,C180,Avantgarde,2011,Used,Automatic,Saloon,Petrol,"1,800 cc",89000
110,27000000,Mitsubishi,Montero,Mitsubishi,2014,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc",53000
111,4490000,Daihatsu,Mira,(used),2017,Used,Automatic,Hatchback,Petrol,660 cc,43300
112,7995000,Micro,Rexton,270 XDI,2008,Used,Automatic,SUV / 4x4,Diesel,"2,700 cc",152123
113,7050000,Toyota,Vitz,KSP130,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",19170
114,3650000,Nissan,Other Model,S-BMD21,1990,Used,Manual,SUV / 4x4,Diesel,"2,660 cc",191000
115,7990000,Toyota,Aqua,G sport gs,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc",72000
116,11000000,Mitsubishi,Montero,1st Owner,2003,Reconditioned,Tiptronic,SUV / 4x4,Petrol,"3,500 cc",110000
117,825000,Suzuki,Maruti,800,1988,Used,Manual,Hatchback,Petrol,800 cc,90000
118,43000000,BMW,i8,Fully loaded,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc",4900
119,2780000,Suzuki,Alto,Japan (Auto),2004,Used,Automatic,Hatchback,Petrol,600 cc,129400
120,6300000,Suzuki,Escudo,Helly Hansen 4WD,2007,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",175000
121,31500000,Toyota,Harrier,Premium,2017,Used,Automatic,Station wagon,Petrol,"2,000 cc",32000
122,24000000,Toyota,Hilux,Higest Grade cab,2019,Used,Automatic,SUV / 4x4,Diesel,"2,755 cc",11000
123,22500000,Mitsubishi,Montero,sport 2013,2013,Used,Automatic,SUV / 4x4,Diesel,"2,500 cc",16335
124,5575000,Toyota,Vitz,original Push Start,2010,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc",81000
125,4250000,Perodua,Viva Elite,Automatic,2013,Used,Automatic,Hatchback,Petrol,"1,000 cc",75000
126,9850000,Toyota,Axio,WXB DAA-NKE165,2017,Used,Automatic,Saloon,Petrol,"1,490 cc",89409
127,11125000,Toyota,Prius,5th Generation,2016,Used,Automatic,Saloon,Electric,"1,790 cc",90568
128,6850000,Honda,Insight,2012,2012,Used,Automatic,Saloon,Petrol,"1,330 cc",61000
129,1650000,Tata,Indica,V2,2004,Used,Manual,Hatchback,Petrol,"1,500 cc",138000
130,23500000,Mercedes Benz,C350,Premium Sport,2016,Used,Tiptronic,Saloon,Hybrid,"2,000 cc",64000
131,16500000,Toyota,Hilux,Champ 2015,2015,Used,Automatic,SUV / 4x4,Diesel,"2,982 cc",148500
132,7300000,Toyota,Other Model,Toyota Hilux Surf,2008,Used,Automatic,SUV / 4x4,Diesel,"2,982 cc",86100
133,2795000,Suzuki,Alto,1st Owner,2015,Used,Manual,Hatchback,Petrol,800 cc,46316
134,7250000,Toyota,Prius,S Grade,2013,Used,Automatic,Station wagon,Hybrid,"1,800 cc",103000
135,1975000,Micro,Trend,Micro,2010,Used,Automatic,Hatchback,Petrol,"1,000 cc",90000
136,73500000,Land Rover,Range Rover,Vogue P400e,2018,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",18000
137,10950000,Honda,Civic,Ex Turbo 1.0,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc",53000
138,7150000,Honda,Fit,GP5 L,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc",73000
139,5450000,Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,60000
140,8500000,Honda,Grace,Ex 2014,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc",62000
141,7350000,Toyota,Vitz,Safety,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc",28000
142,9500000,Honda,Accord,Full option,2008,Used,Automatic,Saloon,Petrol,"2,350 cc",83000
143,5675000,Toyota,Prius,2nd Generation,2008,Used,Automatic,Saloon,Hybrid,"1,500 cc",132000
144,14000000,Toyota,CHR,C-Hr Gt Gx50,2017,Used,Automatic,Hatchback,Petrol,"1,190 cc",23000
145,10475000,Toyota,Allion,Toyota,2013,Used,Automatic,Saloon,Petrol,"1,500 cc",19100
146,10390000,Toyota,Hilux,Dual Purpose Cab,2007,Used,Manual,SUV / 4x4,Diesel,"3,000 cc",135890
147,3690000,Suzuki,Swift,Center,2004,Used,Automatic,Hatchback,Petrol,"1,500 cc",95000
148,5595000,Toyota,Prius,W30,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc",198952
149,2730000,Suzuki,Alto,800,2015,Used,Manual,Saloon,Petrol,800 cc,30227
150,6250000,Toyota,Crown,Majesta Luxury,2008,Used,Tiptronic,Saloon,Petrol,"3,900 cc",107500
151,2495000,Micro,Panda,12000KMs,2015,Used,Manual,Hatchback,Petrol,"1,000 cc",12800
152,9750000,Peugeot,508,Premium Plus,2012,Used,Tiptronic,Saloon,Petrol,"1,600 cc",100500
153,490000,Toyota,Corolla,Blue,1981,Used,Manual,Saloon,Petrol,"1,200 cc",300000
154,8650000,Ford,Ranger,Automatic,2012,Used,Tiptronic,SUV / 4x4,Diesel,"2,500 cc",124600
155,5850000,Nissan,X-Trail,T30 2004,2004,Used,Automatic,SUV / 4x4,Petrol,"2,500 cc",230000
156,8450000,Toyota,Mark,X G Grade,2008,Used,Tiptronic,Saloon,Petrol,"2,500 cc",127500
157,590000,Mitsubishi,Lancer,wagon GL,1983,Used,Manual,Station wagon,Petrol,"1,400 cc",185326
158,4850000,Honda,Civic,Honda,2003,Used,Automatic,Saloon,Petrol,"1,500 cc",211000
159,8150000,Toyota,Tank,GS Custom,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc",16500
160,5300000,Suzuki,Spacia,Trim,2016,Used,Automatic,Hatchback,Petrol,650 cc,40000
161,6350000,Toyota,Corolla,Toyota 141( 1.6Auto),2007,Used,Automatic,Saloon,Petrol,"1,600 cc",86000
162,10700000,Toyota,Premio,G Superior - 2011,2011,Used,Automatic,Saloon,Petrol,"1,490 cc",168000
163,5300000,Honda,Fit,Honda Fit Gp1,2010,Used,Automatic,Hatchback,Hybrid,"1,330 cc",110000
164,28000000,Mitsubishi,Montero,V98,2015,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc",73000
165,280000,Nissan,Dutsun,b210,1979,Used,Manual,Station wagon,Petrol,"1,200 cc",45000
166,11950000,Honda,Vezel,Sensing,2016,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",65000
167,10550000,Toyota,Axio,WXB Anniveary,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc",69000
168,6150000,Suzuki,Alto,japan,2016,Used,Automatic,Hatchback,Petrol,650 cc,25000
169,27300000,Mercedes Benz,C200,2018 AMG Primum plus,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",11000
170,7950000,Toyota,Prius,S Touring,2013,Used,Automatic,Saloon,Hybrid,"1,800 cc",145000
171,705000,Nissan,Sunny,B11,1983,Used,Manual,Saloon,Petrol,"1,300 cc",224000
172,2775000,Renault,KWID,SPORTS RXT Exchange,2017,Used,Manual,Hatchback,Petrol,800 cc,69000
173,600000,Aston Martin,Other Model,No edition,1988,Used,Manual,Hatchback,Diesel,240 cc,193200
174,4790000,Mitsubishi,eK Wagon,EK Wagon 2017,2016,Used,Automatic,Hatchback,Petrol,650 cc,41532
175,4750000,Suzuki,Wagon R Stingray,J Style,2014,Used,Automatic,Hatchback,Hybrid,650 cc,66300
176,3250000,Chevrolet,Cruze,Cruze,2002,Used,Automatic,Hatchback,Petrol,"1,300 cc",160000
177,6390000,Toyota,Vitz,KSP130,2015,Used,Automatic,Hatchback,Petrol,990 cc,57000
178,3625000,Nissan,Sunny,Fb15 Auto Exchange,2002,Used,Automatic,Saloon,Petrol,"1,500 cc",139000
179,7800000,Honda,Vezel,Vezel,2014,Used,Automatic,SUV / 4x4,Hybrid,"1,490 cc",83000
180,1650000,Nissan,Sunny,FB14 (Doctor Sunny),1993,Used,Manual,Saloon,Diesel,"1,800 cc",240000
181,21900000,Mercedes Benz,C160,COMPANY BRAND NEW,2017,Used,Automatic,Saloon,Petrol,"1,600 cc",43000
182,10550000,Toyota,Premio,G Superior,2011,Used,Automatic,Saloon,Petrol,"1,500 cc",34000
183,11675000,Toyota,CHR,Gt,2017,Used,Automatic,Hatchback,Petrol,"1,200 cc",31000
184,1250000,Other brand,Other model,Bajaj Qute,2019,Used,Manual,Hatchback,Petrol,215 cc,9100
185,25800000,BMW,X2,M SPORT,2019,Used,Tiptronic,Hatchback,Petrol,"1,500 cc",13000
186,57500000,Toyota,Land Cruiser Prado,TX,2020,New,Tiptronic,MPV,Petrol,"2,700 cc",0
187,6275000,Toyota,Allion,G,2005,Used,Automatic,Saloon,Petrol,"1,500 cc",110000
188,6000000,Suzuki,Wagon R FX,2018,2018,New,Automatic,Station wagon,Petrol,660 cc,0
189,17400000,Audi,A3,SUNROOF,2018,Used,Tiptronic,Saloon,Petrol,"1,000 cc",23000
190,36000000,Land Rover,Discovery,4,2015,Used,Automatic,SUV / 4x4,Diesel,"3,000 cc",120000
191,19500000,Honda,CRV,Honda,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",40000
192,1790000,Nissan,Sunny,FB 13,1991,Used,Manual,Saloon,Petrol,"1,500 cc",180000
193,4575000,Suzuki,Wagon R FZ,safety,2014,Used,Automatic,Hatchback,Hybrid,650 cc,42000
194,3500000,Nissan,Sunny,FB 15 Super Saloon,2000,Used,Automatic,Saloon,Petrol,"1,500 cc",125000
195,6445000,Mitsubishi,Mirage,Mirage GP5,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc",29000
196,16500000,Mitsubishi,Eclipse Cross,Highest spec,2018,Used,Tiptronic,MPV,Petrol,"1,500 cc",17000
197,57500000,Toyota,Land Cruiser Prado,TXL,2020,New,Tiptronic,MPV,Petrol,"2,700 cc",0
198,8050000,Hyundai,Tucson,SUV,2012,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",79500
199,21800000,Mercedes Benz,C200,HEAD UP DISPLAY,2015,Used,Automatic,Saloon,Petrol,"2,000 cc",35000
200,3950000,BMW,Other Model,518i,1993,Used,Manual,Saloon,Petrol,"1,800 cc",140000
201,15000000,Honda,Civic,Ex Sedan Tech 2018,2018,Used,Automatic,Saloon,Petrol,"1,000 cc",8000
202,13600000,Honda,Civic,5R Vtech,2017,Used,Tiptronic,Hatchback,Petrol,"1,000 cc",46000
203,8250000,Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc",25000
204,11850000,Mitsubishi,Outlander,Phev Rockford,2013,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",895603
205,14450000,Mitsubishi,Montero,Montero sport,2012,Used,Automatic,SUV / 4x4,Diesel,"2,500 cc",96500
206,3375000,Toyota,Vitz,-,2000,Used,Automatic,Hatchback,Petrol,"1,000 cc",116000
207,4975000,Suzuki,Wagon R Stingray,J Style,2014,Used,Automatic,Hatchback,Petrol,650 cc,45000
208,9750000,Toyota,Harrier,E Four,2008,Used,Tiptronic,SUV / 4x4,Hybrid,"3,300 cc",139000
209,5575000,Toyota,Vios,G-Limited,2007,Used,Automatic,Saloon,Petrol,"1,500 cc",105500
210,4650000,Suzuki,Wagon R,FX Hybrid,2017,Used,Automatic,Hatchback,Hybrid,650 cc,55000
211,5850000,Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc",77000
212,2475000,Nissan,Leaf,AZEO,2013,Used,Automatic,Saloon,Electric,70 cc,80000
213,30000000,Toyota,Land Cruiser Prado,Land Cruiser Prado,2014,Used,Tiptronic,SUV / 4x4,Diesel,"2,990 cc",355000
214,11650000,Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,"1,300 cc",110000
215,7825000,BMW,320i,PETROL 2011 REG,2007,Used,Automatic,Saloon,Petrol,"2,000 cc",115680
216,5275000,Toyota,Yaris,1.3 AUTO FULL OPT,2008,Used,Automatic,Saloon,Petrol,"1,300 cc",125000
217,2180000,Nissan,Sunny,Motor car,1996,Used,Manual,Saloon,Petrol,"1,490 cc",190000
218,13500000,Honda,Vezel,Sensing LED,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",33000
219,19300000,Honda,CRV,Masterpiece,2018,Used,Tiptronic,SUV / 4x4,Petrol,"1,500 cc",38000
220,2790000,Suzuki,Alto,Alto Car,2015,Used,Manual,Hatchback,Petrol,800 cc,82000
221,14200000,Toyota,Axio,WXB Safety,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",33000
222,11850000,Audi,A4,29K MILES 1ST OWNER,2011,Used,Automatic,Saloon,Petrol,"1,800 cc",29000
223,6950000,Suzuki,Vitara,ESCUDO,2008,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",117000
224,12325000,Toyota,Premio,G Superior,2015,Used,Automatic,Saloon,Petrol,"1,500 cc",63200
225,18500000,Toyota,Premio,G Superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",22000
226,2600000,Nissan,Bluebird,eprise,2000,Used,Manual,Saloon,Diesel,"1,800 cc",25000
227,2140000,Tata,Indica,Indica,2015,Used,Manual,Hatchback,Petrol,"1,290 cc",76000
228,14500000,Toyota,CHR,GT Turbo NGX10,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",7900
229,12250000,Mitsubishi,Shogun,Sport,2004,Used,Manual,SUV / 4x4,Diesel,"2,500 cc",144000
230,8750000,Mitsubishi,Montero,Mitsubishi,2004,Used,Automatic,SUV / 4x4,Petrol,"3,500 cc",165000
231,9150000,Toyota,Allion,-,2010,Used,Automatic,Saloon,Petrol,"1,500 cc",121000
232,2375000,Tata,Indica,tata,2015,Used,Manual,Hatchback,Petrol,"1,200 cc",71000
233,13500000,Toyota,CHR,GT Turbo,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",59000
234,3675000,Toyota,Cami,jeep 4Ã4,2000,Used,Manual,SUV / 4x4,Petrol,"1,300 cc",120000
235,8200000,Toyota,Other Model,Noah,2009,Reconditioned,Automatic,MPV,Petrol,"2,000 cc",87000
236,7150000,Honda,Fit,GP 5 S,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc",105000
237,17500000,Toyota,Premio,G Superior,2017,Used,Automatic,Saloon,Petrol,"1,500 cc",35000
238,3790000,Subaru,Impreza,Impreza,2000,Used,Automatic,Hatchback,Petrol,"1,500 cc",138000
239,34000000,Audi,Q3,SLINE VOPRUNG,2019,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",17500
240,14500000,Audi,Q2,Audi,2017,Used,Tiptronic,SUV / 4x4,Petrol,"1,000 cc",58000
241,18500000,Toyota,Premio,G Superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",32000
242,55000000,Toyota,Land Cruiser Sahara,ZX V8 Bruno Cross,2014,Used,Automatic,SUV / 4x4,Petrol,"4,200 cc",53750
243,14200000,Honda,Civic,SEDAN EX TECH PACK,2018,Used,Automatic,Saloon,Petrol,"1,000 cc",8500
244,28300000,Mercedes Benz,CLA 200,White CLA 200,2019,Used,Automatic,Saloon,Petrol,"1,300 cc",9000
245,4675000,Toyota,Vios,2004,2004,Used,Automatic,Saloon,Petrol,"1,500 cc",114000
246,5075000,Honda,Fit,GP 1,2013,Used,Tiptronic,Hatchback,Petrol,"1,330 cc",130000
247,38500000,BMW,X5 M,2015,2015,Used,Tiptronic,SUV / 4x4,Diesel,"2,000 cc",59000
