,Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
37123,5750000,Toyota,Aqua,Prius C,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc",85000
37124,4700000,Honda,Fit,Honda Fit GP1,2012,Used,Automatic,Hatchback,Hybrid,"1,330 cc",95000
37125,1975000,Tata,Indica,Xeta,2007,Used,Manual,Hatchback,Petrol,"1,400 cc",135000
37126,13200000,Toyota,CHR,NGX 10,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",12800
37127,4990000,Toyota,Aqua,S Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc",76000
37128,2625000,Nissan,March,AUTO,2000,Used,Automatic,Hatchback,Petrol,"1,000 cc",138000
37129,1600000,Nissan,Dutsun,Cab Lorry,1985,Used,Manual,SUV / 4x4,Diesel,"1,800 cc",100000
37130,5950000,Toyota,Aqua,S Limited,2015,Used,Tiptronic,Hatchback,Hybrid,"1,500 cc",80000
37131,54500000,BMW,X5,M Sport DIESEL 7seat,2020,New,Automatic,SUV / 4x4,Diesel,"2,000 cc",0
37132,1370000,Ford,Laser,Brand New,1987,Used,Manual,Saloon,Petrol,"1,500 cc",165000
37133,8100000,Honda,Vezel,RU3,2014,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc",67000
37134,4700000,Suzuki,Wagon R Stingray,Wagon R Stingray,2014,Used,Automatic,Hatchback,Petrol,650 cc,85000
37135,4000000,Suzuki,Hustler,Safety,2015,Used,Automatic,Hatchback,Petrol,650 cc,106000
37136,43000000,Land Rover,Discovery,Discovery 5,2018,Used,Tiptronic,Station wagon,Diesel,"2,000 cc",20000
37137,3995000,Mazda,Demio,Full Option,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc",97500
37138,4775000,Daihatsu,Move,Custom X,2020,Used,Automatic,Hatchback,Petrol,660 cc,28000
37139,6200000,Toyota,Passo,Key Start,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",26000
37140,16900000,Mercedes Benz,E220,Diesel,2012,Used,Tiptronic,Saloon,Diesel,"2,200 cc",52500
37141,1675000,Toyota,Corolla,Red Interior,1991,Used,Manual,Saloon,Petrol,"1,500 cc",157000
37142,8200000,Toyota,Premio,DBA-NZT260,2010,Used,Automatic,Saloon,Petrol,"1,490 cc",97000
37143,28900000,Audi,A5,S Line Sport Package,2020,Used,Automatic,Saloon,Petrol,"1,500 cc",34000
37144,6290000,Toyota,Aqua,Urban Type,2015,Used,Automatic,Hatchback,Electric,"1,500 cc",88000
37145,2090000,Micro,Panda,LC 1.0,2013,Used,Manual,Hatchback,Petrol,"1,000 cc",74000
37146,5450000,Toyota,Corolla,141,2008,Used,Automatic,Saloon,Petrol,"1,500 cc",97000
37147,7990000,Hyundai,Santa Fe,Diesel 7 seater,2010,Used,Tiptronic,SUV / 4x4,Diesel,"2,200 cc",143500
37148,6300000,Toyota,Aqua,Toyota G Grade 2013,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc",84846
37149,24500000,Mercedes Benz,C200,AMG Premium Plus,2018,Used,Automatic,Saloon,Petrol,"1,500 cc",17800
37150,3175000,Suzuki,Swift,HR52 S-CRUZE-auto,2004,Reconditioned,Automatic,Hatchback,Petrol,"1,320 cc",135000
37151,7100000,Honda,Fit,S grade- 8 AB/Safety,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc",87000
37152,12150000,Mazda,6,Highest Grade,2013,Used,Automatic,Saloon,Petrol,"2,500 cc",43782
37153,4100000,Suzuki,Alto,L Grade,2017,Used,Automatic,Hatchback,Hybrid,660 cc,35000
37154,4790000,Toyota,Aqua,Toyota,2012,Used,Automatic,Hatchback,Petrol,"1,490 cc",132900
37155,3675000,Toyota,Corolla,Toyota,2002,Used,Manual,Saloon,Petrol,"1,300 cc",270000
37156,4775000,Nissan,Dayz,Highway Star Premium,2020,Used,Automatic,Saloon,Petrol,660 cc,18000
37157,12900000,Toyota,CHR,GT Turbo NGX10 2wd,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",30000
37158,21000000,BMW,318i,M Sport Shadow ED,2017,Used,Tiptronic,Saloon,Petrol,"1,500 cc",19000
37159,4950000,Kia,Picanto,Auto,2016,Used,Tiptronic,Hatchback,Petrol,"1,000 cc",68000
37160,12900000,Nissan,Qashqai,tekna plus,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",70000
37161,32900000,Toyota,Land Cruiser Prado,lc5,2013,Used,Automatic,SUV / 4x4,Diesel,"3,800 cc",94000
37162,7950000,Honda,Grace,Honda Grace 2016,2016,Used,Automatic,Saloon,Hybrid,"1,500 cc",79000
37163,5200000,Suzuki,Grand Vitara,7 Seater 4x4,2004,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",138000
37164,11000000,Toyota,Raize,Z Grade,2020,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",19000
37165,8100000,Toyota,Allion,G-Plus,2010,Used,Automatic,Saloon,Petrol,"1,500 cc",110000
37166,6995000,Toyota,Aqua,G GRADE LIMITED,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc",71058
37167,10300000,Nissan,X-Trail,2016,2016,Used,Automatic,SUV / 4x4,Hybrid,"2,000 cc",76000
37168,10190000,Honda,Vezel,VEZEL RS SENSING,2017,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",59000
37169,69500000,Toyota,Land Cruiser Sahara,v8,2016,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc",70000
37170,5750000,Suzuki,Other Model,Wagon Turbo,2017,Used,Automatic,Station wagon,Petrol,650 cc,33876
37171,49500000,Land Rover,Discovery,5 HSE Luxury Highest,2020,Used,Automatic,SUV / 4x4,Diesel,"2,000 cc",5000
37172,9800000,Toyota,Roomy,GT-CUSTOM/Turbo1000c,2021,Used,Automatic,Hatchback,Petrol,"1,000 cc",9800
37173,7000000,Honda,Grace,honda,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc",118000
37174,19500000,Toyota,Land Cruiser Prado,DIESEL VX,2007,Used,Automatic,SUV / 4x4,Diesel,"3,000 cc",112000
37175,9700000,Mazda,6,SkyActive Petrol,2013,Used,Tiptronic,Saloon,Petrol,"2,000 cc",140000
37176,11000000,Toyota,Hilux,CHAMP,2008,New,Automatic,SUV / 4x4,Diesel,"3,000 cc",112000
37177,4900000,Honda,Fit,GP1-intelligent key,2013,Used,Automatic,Hatchback,Hybrid,"1,330 cc",128000
37178,2500000,Mahindra,Scorpio,2009,2009,Used,Manual,Saloon,Diesel,"2,500 cc",45000
37179,5200000,Toyota,Aqua,S-Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc",127000
37180,13300000,Toyota,Premio,G Superior,2016,Used,Automatic,Saloon,Petrol,"1,500 cc",40000
37181,7290000,Toyota,Hilux,LN165,1998,Used,Automatic,SUV / 4x4,Diesel,"2,500 cc",280000
37182,1390000,Suzuki,Maruti,2005,2005,Used,Manual,Hatchback,Petrol,800 cc,98000
37183,4400000,Suzuki,Alto,Japan 650,2017,Used,Automatic,Hatchback,Petrol,650 cc,57000
37184,1485000,Nissan,Sunny,HB12,1987,Used,Manual,Saloon,Petrol,"1,500 cc",240000
37185,7600000,Honda,CRV,RE2-4WD-sunroof,2007,Used,Automatic,SUV / 4x4,Petrol,"1,995 cc",128000
37186,7450000,Toyota,Aqua,Urban Body (S),2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc",116000
37187,4195000,Nissan,MOCO,Premium,2015,Used,Automatic,Hatchback,Petrol,650 cc,62180
37188,8875000,Toyota,Premio,260 G Superior,2011,Used,Automatic,Hatchback,Petrol,"1,500 cc",49750
37189,3150000,Chevrolet,Cruze,Chevrolet,2003,Used,Automatic,Hatchback,Petrol,"1,320 cc",165000
37190,2995000,Micro,MX 7,67000 KM,2015,Used,Manual,Saloon,Petrol,"1,495 cc",67000
37191,2795000,Micro,Panda,Auto,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc",24000
37192,2990000,Suzuki,A-Star,Suzuki,2012,Used,Manual,Hatchback,Petrol,"1,000 cc",31000
37193,12500000,Toyota,CHR,NGX 10,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",22000
37194,10000000,Mitsubishi,Outlander,Jeep,2011,Used,Automatic,SUV / 4x4,Petrol,"2,400 cc",215000
37195,22500000,BMW,X1,S Drive 18i X Line,2019,Used,Automatic,SUV / 4x4,Petrol,"1,800 cc",36000
37196,4750000,Suzuki,Wagon R FX,Safety Edition,2018,Used,Automatic,Hatchback,Hybrid,650 cc,56275
37197,7750000,Toyota,Prius,Toyota Prius,2012,Used,Automatic,Saloon,Petrol,"1,800 cc",120000
37198,2450000,Suzuki,Alto,Alto,2014,Used,Manual,Hatchback,Petrol,800 cc,13000
37199,4550000,Mazda,Flair,2017,2017,Used,Automatic,Hatchback,Hybrid,660 cc,42000
37200,7000000,Honda,Vezel,Z Orange Pack,2014,Used,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",79000
37201,82500000,Land Rover,Range Rover,LWB Comfort Plus SML,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",17000
37202,2400000,Nissan,Sunny,B14,1996,Used,Automatic,Saloon,Petrol,"1,300 cc",130000
37203,10900000,Nissan,X-Trail,Autech Mode Premier,2015,Used,Automatic,SUV / 4x4,Hybrid,"2,000 cc",54000
37204,2800000,Toyota,Corolla,CE 110,1997,Used,Manual,Saloon,Diesel,"2,000 cc",120000
